'登録番号','農薬の種類','農薬の名称','登録を有する者の名称','有効成分','総使用回数における有効成分','濃度','混合数','用途','剤型名','登録年月日'
52,'除虫菊乳剤','金鳥除虫菊乳剤3','大日本除蟲菊株式会社','ピレトリン','ピレトリン','3.0%',1,'殺虫剤','乳剤','1948/10/20'
90,'クロルピクリンくん蒸剤','カヤククロールピクリン','日本化薬株式会社','クロルピクリン','クロルピクリン','99.5%',1,'殺虫剤','くん蒸剤','1948/10/30'
142,'石灰硫黄合剤','サンケイ石灰硫黄合剤','サンケイ化学株式会社','石灰硫黄合剤','石灰硫黄合剤','27.5%',1,'殺菌剤','その他','1948/10/30'
313,'石灰硫黄合剤','海野石灰硫黄合剤','海野製薬株式会社','石灰硫黄合剤','石灰硫黄合剤','27.5%',1,'殺菌剤','その他','1949/2/3'
1057,'生石灰','田中ボルドー液用生石灰','田中石灰工業株式会社','生石灰','生石灰','95.0%',1,'その他','その他','1950/12/5'
1750,'生石灰','カネジュウ印ボルドー液用生石灰','井上石灰工業株式会社','生石灰','生石灰','95.0%',1,'その他','その他','1953/9/1'
2040,'クマリン系水溶剤','水溶性ラテミン錠','大塚薬品工業株式会社','クマリン系','クマリン系','2.0%',1,'殺そ剤','水溶剤','1954/9/9'
2122,'液状展着剤','ネオエステリン','クミアイ化学工業株式会社','ポリオキシエチレンノニルフェニルエーテル',NULL,'20.0%',1,'その他','その他','1955/2/23'
2122,'液状展着剤','ネオエステリン','クミアイ化学工業株式会社','ポリオキシエチレン脂肪酸エステルおよびポリオキシエチレン樹脂酸エステルの混合物',NULL,'10.0%',1,'その他','その他','1955/2/23'
2280,'マラソン乳剤','日農マラソン乳剤','日本農薬株式会社','マラソン','マラソン','50.0%',1,'殺虫剤','乳剤','1955/5/23'
2300,'マラソン乳剤','ホクコーマラソン乳剤','北興化学工業株式会社','マラソン','マラソン','50.0%',1,'殺虫剤','乳剤','1955/5/23'
2309,'リン化亜鉛粒剤','強力ラテミン','大塚薬品工業株式会社','リン化亜鉛','リン化亜鉛','3.0%',1,'殺そ剤','粒剤','1955/5/23'
2532,'マラソン乳剤','サンケイマラソン乳剤','サンケイ化学株式会社','マラソン','マラソン','50.0%',1,'殺虫剤','乳剤','1956/1/28'
3316,'オキシテトラサイクリン・ストレプトマイシン水和剤','アグリマイシン-100','日本曹達株式会社','オキシテトラサイクリン','オキシテトラサイクリン','2.8%',2,'殺菌剤','水和剤','1957/9/28'
